Address,Location,Price,Beds,Baths,Sqft
2000 Palm Boulevard UNIT 1/13 Share- Interval 1,"Isle of Palms, SC 29451",225000,6 br,"6 ba, 1 Half Bath",3648
304 Carolina Boulevard,"Isle of Palms, SC 29451",2995000,5 br,"4 ba, 1 Half Bath",3229
34 Fairway Dunes Lane,"Isle of Palms, SC 29451",1150000,3 br,3 ba,1644
9000 Palmetto Drive UNIT F 204,"Isle of Palms, SC 29451",939000,1 br,1 b,800
302 Summerhouse,"Isle of Palms, SC 29451",1600000,4 br,4 ba,1765
9 Fishers Alley,"Isle of Palms, SC 29451",2095000,4 br,"3 ba, 1 Half Bath",1816
19 26th Avenue,"Isle of Palms, SC 29451",1350000,3 br,"1 ba, 1 Half Bath",1219
5804 Palmetto Drive UNIT A-504,"Isle of Palms, SC 29451",1850000,3 br,"3 ba, 1 Half Bath",2748
26 Seagrass Lane,"Isle of Palms, SC 29451",2000000,3 br,"2 ba, 1 Half Bath",2086
1 Links Clubhouse Court,"Isle of Palms, SC 29451",895000,2 br,3 ba,1300
27 Ocean Point Drive,"Isle of Palms, SC 29451",2350000,4 br,"4 ba, 1 Half Bath",2427
30 Waterway Island Drive,"Isle of Palms, SC 29451",5495000,5 br,4 ba,4017
5802 Palmetto Drive UNIT B-502,"Isle of Palms, SC 29451",1050000,2 br,2 ba,1230
14 Oyster Row,"Isle of Palms, SC 29451",1795000,4 br,"3 ba, 1 Half Bath",2788
59 Twin Oaks Lane,"Isle of Palms, SC 29451",1400000,4 br,3 ba,1850
251 Forest Trail,"Isle of Palms, SC 29451",1425000,3 br,2 ba,1704
4301 Ocean Club,"Isle of Palms, SC 29451",2850000,3 br,"3 ba, 1 Half Bath",2533
2704 Cameron Boulevard,"Isle of Palms, SC 29451",1225000,2 br,1 b,768
2 Driftwood Lane,"Isle of Palms, SC 29451",3895000,5 br,5 ba,3797
3606 Palm Boulevard,"Isle of Palms, SC 29451",5895000,4 br,4 ba,3578
7600 Palmetto Drive UNIT C 318,"Isle of Palms, SC 29451",1295000,3 br,3 ba,1250
